ID,Site,Latitude,Longitude,City,PixelName,Pixel
66,Greater St. Albert Catholic School Division No.734,53.63,-113.63,St. Albert,Edmonton,17
102,Sturgeon Public School Division No.24,53.79,-113.65,Morinville,Edmonton,17
85,Northern Lights Library System,53.9,-110.89,Elk Point,Lac La Biche,19
149,Frog Lake Education Authority (FLEA),53.957,-110.401,Frog Lake,Bonnyville,20
93,Pembina Hills Public School,54.12,-114.4,Barrhead,Barrhead,21
83,Northern Gateway Public Schools,54.13,-115.68,Whitecourt,Whitecourt,22
76,Living Waters Catholic Regional Division No.42,54.13,-115.66,Whitecourt,Whitecourt,22
86,Northern Lights School Division No.69,54.26,-110.76,Bonnyville,Bonnyville,20
31,Aspen View Public Schools Division,54.71,-113.25,Athabasca,Athabasca,23
32,Athabasca University,54.71,-113.3,Athabasca,Athabasca,23
94,Portage College,54.76,-111.97,Lac La Biche,Lac La Biche,19
72,Lac La Biche County,54.76,-111.94,Lac La Biche,Lac La Biche,19
92,Peace Wapiti School Division No.76,55.15,-118.81,Grande Prairie,Grande Prairie,24
90,Peace Library System,55.15,-118.82,Grande Prairie,Grande Prairie,24
61,Grande Prairie Catholic School District,55.17,-118.79,Grande Prairie,Grande Prairie,24
62,Grande Prairie Public Library,55.17,-118.78,Grande Prairie,Grande Prairie,24
64,Grande Prairie Regional College - Northwest Polytechnic,55.17,-118.81,Grande Prairie,Grande Prairie,24
63,Grande Prairie Public School District No.2357,55.18,-118.8,Grande Prairie,Grande Prairie,24
84,Northern Lakes College,55.27,-114.77,Slave Lake,Slave Lake,25
67,High Prairie School Division No.48,55.43,-116.46,High Prairie,High Prairie,26
91,Peace River School Division No.10,56.18,-117.61,Grimshaw,Peace River,27
68,Holy Family Catholic Regional Division No.37,56.22,-117.28,Peace River,Peace River,27
87,Northland School Division No.61,56.25,-117.29,Peace River,Peace River,27
71,Kee Tas Kee Now Tribal Council Education Authority,56.52,-115.31,Red Earth Creek,High Prairie,26
115,Keyano College,56.6,-111.4,Fort McMurray,Fort McMurray,28
56,Fort McMurray Public School District,56.72,-111.37,Fort McMurray,Fort McMurray,28
57,Fort Vermilion School District,58.38,-116.02,Fort Vermilion,Fort Vermilion,29
